,clID,snapID,redshift,M200,originalpath
0,1,50,4.6135403126,10000000000000,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.050.shocks
1,1,51,4.4838376858,10000000000000,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.051.shocks
2,1,52,4.3822361866,10000000000000,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.052.shocks
3,1,53,4.2578780973,10000000000000,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.053.shocks
4,1,54,4.1363929435,10000000000000,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.054.shocks
5,1,55,4.0177151297,10000000000000,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.055.shocks
6,1,56,3.9247499992,10000000000000,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.056.shocks
7,1,57,3.8109619814,10000000000000,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.057.shocks
8,1,58,3.7108022468,10000000000000,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.058.shocks
9,1,59,3.6019577887,10000000000000,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.059.shocks
10,1,60,3.5061495445,10000000000000,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.060.shocks
11,1,61,3.4020331952,10000000000000,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.061.shocks
12,1,62,3.31038731,10000000000000,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.062.shocks
13,1,63,3.2206492929,10000000000000,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.063.shocks
14,1,64,3.123129761,11220184543019.7,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.064.shocks
15,1,65,3.0278633711,12589254117941.7,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.065.shocks
16,1,66,2.9440074286,14125375446227.6,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.066.shocks
17,1,67,2.8618970079,14125375446227.6,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.067.shocks
18,1,68,2.7726665429,14125375446227.6,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.068.shocks
19,1,69,2.6941229808,15848931924611.2,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.069.shocks
20,1,70,2.6087690432,15848931924611.2,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.070.shocks
21,1,71,2.5336382146,15848931924611.2,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.071.shocks
22,1,72,2.4519923184,15848931924611.2,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.072.shocks
23,1,73,2.3801252123,17782794100389.4,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.073.shocks
24,1,74,2.3020263202,17782794100389.4,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.074.shocks
25,1,75,2.2332811098,25118864315096.1,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.075.shocks
26,1,76,2.1585752085,31622776601684.3,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.076.shocks
27,1,77,2.0928166723,35481338923358.2,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.077.shocks
28,1,78,2.0213561405,39810717055350.5,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.078.shocks
29,1,79,1.9584544148,44668359215097.3,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.079.shocks
30,1,80,1.8900983494,50118723362728.4,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.080.shocks
31,1,81,1.8299292923,63095734448021,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.081.shocks
32,1,82,1.7645428911,79432823472430.5,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.082.shocks
33,1,83,1.7069877932,89125093813377.3,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.083.shocks
34,1,84,1.6475347645,100000000000003,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.084.shocks
35,1,85,1.5924154783,100000000000003,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.085.shocks
36,1,86,1.5354787527,112201845430200,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.086.shocks
37,1,87,1.4797923251,112201845430200,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.087.shocks
38,1,88,1.4253290314,112201845430200,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.088.shocks
39,1,89,1.3720619743,112201845430200,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.089.shocks
40,1,90,1.3199647495,112201845430200,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.090.shocks
41,1,91,1.2690117734,112201845430200,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.091.shocks
42,1,92,1.2191777905,112201845430200,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.092.shocks
43,1,93,1.1704383428,112201845430200,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.093.shocks
44,1,94,1.1227693147,141253754462281,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.094.shocks
45,1,95,1.0761472292,199526231496896,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.095.shocks
46,1,96,1.0305491011,251188643150970,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.096.shocks
47,1,97,0.9859525584,251188643150970,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.097.shocks
48,1,98,0.942335255,281838293126459,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.098.shocks
49,1,99,0.8996761522,316227766016853,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.099.shocks
50,1,100,0.8579536992,316227766016853,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.100.shocks
51,1,101,0.8171479063,316227766016853,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.101.shocks
52,1,102,0.7772380443,354813389233593,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.102.shocks
53,1,103,0.738204872,316227766016853,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.103.shocks
54,1,104,0.7000288688,316227766016853,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.104.shocks
55,1,105,0.6626915336,316227766016853,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.105.shocks
56,1,106,0.6280758685,316227766016853,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.106.shocks
57,1,107,0.5923187011,354813389233593,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.107.shocks
58,1,108,0.5573467912,354813389233593,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.108.shocks
59,1,109,0.523142996,398107170553518,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.109.shocks
60,1,110,0.4896904836,446683592150987,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.110.shocks
61,1,111,0.4569726189,446683592150987,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.111.shocks
62,1,112,0.4249733623,501187233627300,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.112.shocks
63,1,113,0.3936768738,501187233627300,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.113.shocks
64,1,114,0.3630677656,562341325190381,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.114.shocks
65,1,115,0.3331309732,630957344480230,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.115.shocks
66,1,116,0.3038515545,707945784384181,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.116.shocks
67,1,117,0.2752153157,891250938133802,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.117.shocks
68,1,118,0.2472078871,1000000000000070,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.118.shocks
69,1,119,0.2205287425,1122018454302040,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.119.shocks
70,1,120,0.1937225107,1122018454302040,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.120.shocks
71,1,121,0.1675049091,1258925411794250,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.121.shocks
72,1,122,0.1411961189,1258925411794250,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.122.shocks
73,1,123,0.1161322036,1412537544622850,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.123.shocks
74,1,124,0.0922568534,1412537544622850,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.124.shocks
75,1,125,0.0682677806,1584893192461230,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.125.shocks
76,1,126,0.044805623,1584893192461230,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.126.shocks
77,1,127,0.0218586747,1584893192461230,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.127.shocks
78,1,128,0,1778279410039050,/data/Threehundrets//SHOCKS_00001/cluster.00001.snap.128.shocks
